ID_BIKEST,DISTRICT_NUMBER,DISTRICT_NAME,WIKIDATA_DISTRICT,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,WIKIDATA_NEIGHBOURHOOD,AD_NAME,AD_NUMBER,CAPACITY,LONGITUDE,LATITUDE
129,7,Chamberí,http://www.wikidata.org/entity/Q1763370,75,Ríos Rosas,http://www.wikidata.org/entity/Q10366270,CALLE DE JOSE ABASCAL,33,24,-3.6982818,40.4384684
130,7,Chamberí,http://www.wikidata.org/entity/Q1763370,75,Ríos Rosas,http://www.wikidata.org/entity/Q10366270,CALLE DE SANTA ENGRACIA,129,20,-3.7017071,40.4417195
131,7,Chamberí,http://www.wikidata.org/entity/Q1763370,75,Ríos Rosas,http://www.wikidata.org/entity/Q10366270,CALLE DE BRAVO MURILLO,44,24,-3.704022,40.4417543
132,7,Chamberí,http://www.wikidata.org/entity/Q1763370,75,Ríos Rosas,http://www.wikidata.org/entity/Q10366270,CALLE DE SANTA ENGRACIA,168,24,-3.7035911,40.4463889
133,6,Tetuán,http://www.wikidata.org/entity/Q1773540,62,Cuatro Caminos,http://www.wikidata.org/entity/Q5824684,CALLE DE DULCINEA,3,24,-3.7000292,40.4471673
134,7,Chamberí,http://www.wikidata.org/entity/Q1763370,75,Ríos Rosas,http://www.wikidata.org/entity/Q10366270,CALLE DE MARIA DE GUZMAN,58,24,-3.6955114,40.444027
135,7,Chamberí,http://www.wikidata.org/entity/Q1763370,75,Ríos Rosas,http://www.wikidata.org/entity/Q10366270,PLAZA DE SAN JUAN DE LA CRUZ,S/N,24,-3.6928901,40.4414845
136,5,Chamartín,http://www.wikidata.org/entity/Q1766348,51,El Viso,http://www.wikidata.org/entity/Q4778,PASEO DE LA CASTELLANA,106,24,-3.6908127,40.4452833
137,5,Chamartín,http://www.wikidata.org/entity/Q1766348,51,El Viso,http://www.wikidata.org/entity/Q4778,PLAZA DE LA REPUBLICA ARGENTINA,6,24,-3.6852925,40.4454958
138,7,Chamberí,http://www.wikidata.org/entity/Q1763370,75,Ríos Rosas,http://www.wikidata.org/entity/Q10366270,PASEO DE LA CASTELLANA,108,24,-3.6915818,40.4456884
139,5,Chamartín,http://www.wikidata.org/entity/Q1766348,51,El Viso,http://www.wikidata.org/entity/Q4778,CALLE DE JOSE GUTIERREZ ABASCAL,S/N,24,-3.6904495,40.4393558
140,5,Chamartín,http://www.wikidata.org/entity/Q1766348,51,El Viso,http://www.wikidata.org/entity/Q4778,CALLE DE VELAZQUEZ,134,27,-3.6829045,40.438628
141,7,Chamberí,http://www.wikidata.org/entity/Q1763370,74,Almagro,http://www.wikidata.org/entity/Q10954432,PASEO DE LA CASTELLANA,43,12,-3.6892902,40.4354253
142,4,Salamanca,http://www.wikidata.org/entity/Q1773521,46,Castellana,http://www.wikidata.org/entity/Q4781,PASEO DE LA CASTELLANA,S/N,24,-3.6880402,40.4335262
143,4,Salamanca,http://www.wikidata.org/entity/Q1773521,45,Lista,http://www.wikidata.org/entity/Q4779,CALLE DE DIEGO DE LEON,54,24,-3.6782355,40.434616
144,4,Salamanca,http://www.wikidata.org/entity/Q1773521,45,Lista,http://www.wikidata.org/entity/Q4779,CALLE DE JUAN BRAVO,50,24,-3.6754628,40.4323192
145,4,Salamanca,http://www.wikidata.org/entity/Q1773521,45,Lista,http://www.wikidata.org/entity/Q4779,CALLE DE JOSE ORTEGA Y GASSET,87,24,-3.671401,40.4297717
146,5,Chamartín,http://www.wikidata.org/entity/Q1766348,51,El Viso,http://www.wikidata.org/entity/Q4778,CALLE DE MARIA FRANCISCA,1,18,-3.67879,40.4442406
147,5,Chamartín,http://www.wikidata.org/entity/Q1766348,51,El Viso,http://www.wikidata.org/entity/Q4778,AVENIDA DEL DOCTOR ARCE,45,24,-3.6795811,40.4483353
